customer_id,active,store_id,transaction_id,first_name,last_name,account_creation_date,email_address,street_address,district,city,country
31,1,2,1656,BRENDA,WRIGHT,"2006-02-14 22:04:36",BRENDA.WRIGHT@sakilacustomer.org,"33 Gorontalo Way","West Bengali",Kamarhati,India
32,1,1,483,AMY,LOPEZ,"2006-02-14 22:04:36",AMY.LOPEZ@sakilacustomer.org,"176 Mandaluyong Place","Uttar Pradesh",Jhansi,India
33,1,2,165,ANNA,HILL,"2006-02-14 22:04:36",ANNA.HILL@sakilacustomer.org,"127 Purnea (Purnia) Manor",Piemonte,Alessandria,Italy
34,1,2,1900,REBECCA,SCOTT,"2006-02-14 22:04:36",REBECCA.SCOTT@sakilacustomer.org,"61 Tama Street",Okayama,Kurashiki,Japan
35,1,2,47,VIRGINIA,GREEN,"2006-02-14 22:04:36",VIRGINIA.GREEN@sakilacustomer.org,"391 Callao Drive",Midi-Pyrnes,Toulouse,France
36,1,2,349,KATHLEEN,ADAMS,"2006-02-14 22:04:36",KATHLEEN.ADAMS@sakilacustomer.org,"334 Munger (Monghyr) Lane",Markazi,Arak,Iran
37,1,1,25,PAMELA,BAKER,"2006-02-14 22:04:36",PAMELA.BAKER@sakilacustomer.org,"1440 Fukuyama Loop",Henan,Nanyang,China
38,1,1,1250,MARTHA,GONZALEZ,"2006-02-14 22:04:36",MARTHA.GONZALEZ@sakilacustomer.org,"269 Cam Ranh Parkway",Chisinau,Chisinau,Moldova
39,1,1,1625,DEBRA,NELSON,"2006-02-14 22:04:36",DEBRA.NELSON@sakilacustomer.org,"306 Antofagasta Place","Esprito Santo","Vila Velha",Brazil
40,1,2,128,AMANDA,CARTER,"2006-02-14 22:04:36",AMANDA.CARTER@sakilacustomer.org,"671 Graz Street",Oriental,Nador,Morocco
41,1,1,2563,STEPHANIE,MITCHELL,"2006-02-14 22:04:36",STEPHANIE.MITCHELL@sakilacustomer.org,"42 Brindisi Place",Yerevan,Yerevan,Armenia
42,1,2,635,CAROLYN,PEREZ,"2006-02-14 22:04:36",CAROLYN.PEREZ@sakilacustomer.org,"1632 Bislig Avenue",Nonthaburi,"Pak Kret",Thailand
43,1,2,123,CHRISTINE,ROBERTS,"2006-02-14 22:04:36",CHRISTINE.ROBERTS@sakilacustomer.org,"1447 Imus Way",Tahiti,Faaa,"French Polynesia"
44,1,1,29,MARIE,TURNER,"2006-02-14 22:04:36",MARIE.TURNER@sakilacustomer.org,"1998 Halifax Drive",Lipetsk,Lipetsk,"Russian Federation"
45,1,1,277,JANET,PHILLIPS,"2006-02-14 22:04:36",JANET.PHILLIPS@sakilacustomer.org,"1718 Valencia Street",Antofagasta,Antofagasta,Chile
46,1,2,401,CATHERINE,CAMPBELL,"2006-02-14 22:04:36",CATHERINE.CAMPBELL@sakilacustomer.org,"46 Pjatigorsk Lane","Moscow (City)",Moscow,"Russian Federation"
47,1,1,175,FRANCES,PARKER,"2006-02-14 22:04:36",FRANCES.PARKER@sakilacustomer.org,"686 Garland Manor",Cear,"Juazeiro do Norte",Brazil
48,1,1,72,ANN,EVANS,"2006-02-14 22:04:36",ANN.EVANS@sakilacustomer.org,"909 Garland Manor",Tatarstan,Niznekamsk,"Russian Federation"
49,1,2,96,JOYCE,EDWARDS,"2006-02-14 22:04:36",JOYCE.EDWARDS@sakilacustomer.org,"725 Isesaki Place",Mekka,Jedda,"Saudi Arabia"
50,1,1,763,DIANE,COLLINS,"2006-02-14 22:04:36",DIANE.COLLINS@sakilacustomer.org,"115 Hidalgo Parkway",Khartum,Omdurman,Sudan
51,1,1,119,ALICE,STEWART,"2006-02-14 22:04:36",ALICE.STEWART@sakilacustomer.org,"1135 Izumisano Parkway",California,Fontana,"United States"
52,1,1,874,JULIE,SANCHEZ,"2006-02-14 22:04:36",JULIE.SANCHEZ@sakilacustomer.org,"939 Probolinggo Loop",Galicia,"A Corua (La Corua)",Spain
53,1,1,88,HEATHER,MORRIS,"2006-02-14 22:04:36",HEATHER.MORRIS@sakilacustomer.org,"17 Kabul Boulevard",Chiba,Nagareyama,Japan
54,1,1,198,TERESA,ROGERS,"2006-02-14 22:04:36",TERESA.ROGERS@sakilacustomer.org,"1964 Allappuzha (Alleppey) Street",Yamaguchi,Iwakuni,Japan
55,1,2,555,DORIS,REED,"2006-02-14 22:04:36",DORIS.REED@sakilacustomer.org,"1697 Kowloon and New Kowloon Loop",Moskova,Balaiha,"Russian Federation"
56,1,1,130,GLORIA,COOK,"2006-02-14 22:04:36",GLORIA.COOK@sakilacustomer.org,"1668 Saint Louis Place",Tahiti,Papeete,"French Polynesia"
57,1,2,152,EVELYN,MORGAN,"2006-02-14 22:04:36",EVELYN.MORGAN@sakilacustomer.org,"943 Tokat Street",Vaduz,Vaduz,Liechtenstein
58,1,1,230,JEAN,BELL,"2006-02-14 22:04:36",JEAN.BELL@sakilacustomer.org,"1114 Liepaja Street",Sarawak,Kuching,Malaysia
59,1,1,212,CHERYL,MURPHY,"2006-02-14 22:04:36",CHERYL.MURPHY@sakilacustomer.org,"1213 Ranchi Parkway",Karnataka,Mysore,India
60,1,1,318,MILDRED,BAILEY,"2006-02-14 22:04:36",MILDRED.BAILEY@sakilacustomer.org,"81 Hodeida Way",Rajasthan,Jaipur,India
61,1,2,1157,KATHERINE,RIVERA,"2006-02-14 22:04:36",KATHERINE.RIVERA@sakilacustomer.org,"915 Ponce Place",Basel-Stadt,Basel,Switzerland
62,1,1,885,JOAN,COOPER,"2006-02-14 22:04:36",JOAN.COOPER@sakilacustomer.org,"1717 Guadalajara Lane",Missouri,"Saint Louis","United States"
63,1,1,1818,ASHLEY,RICHARDSON,"2006-02-14 22:04:36",ASHLEY.RICHARDSON@sakilacustomer.org,"1214 Hanoi Way",Nebraska,Lincoln,"United States"
64,0,2,494,JUDITH,COX,"2006-02-14 22:04:36",JUDITH.COX@sakilacustomer.org,"1966 Amroha Avenue",Sichuan,Daxian,China
65,1,2,295,ROSE,HOWARD,"2006-02-14 22:04:36",ROSE.HOWARD@sakilacustomer.org,"698 Otsu Street",Cayenne,Cayenne,"French Guiana"
66,1,2,933,JANICE,WARD,"2006-02-14 22:04:36",JANICE.WARD@sakilacustomer.org,"1150 Kimchon Manor","Skne ln",Malm,Sweden
67,1,1,331,KELLY,TORRES,"2006-02-14 22:04:36",KELLY.TORRES@sakilacustomer.org,"1586 Guaruj Place",Hunan,Xiangtan,China
68,1,1,1828,NICOLE,PETERSON,"2006-02-14 22:04:36",NICOLE.PETERSON@sakilacustomer.org,"57 Arlington Manor","Madhya Pradesh",Shivapuri,India
69,1,2,584,JUDY,GRAY,"2006-02-14 22:04:36",JUDY.GRAY@sakilacustomer.org,"1031 Daugavpils Parkway",Bchar,Bchar,Algeria
70,1,2,1044,CHRISTINA,RAMIREZ,"2006-02-14 22:04:36",CHRISTINA.RAMIREZ@sakilacustomer.org,"1124 Buenaventura Drive",Mekka,al-Hawiya,"Saudi Arabia"
71,1,1,199,KATHY,JAMES,"2006-02-14 22:04:36",KATHY.JAMES@sakilacustomer.org,"492 Cam Ranh Street","Eastern Visayas",Baybay,Philippines
72,1,2,785,THERESA,WATSON,"2006-02-14 22:04:36",THERESA.WATSON@sakilacustomer.org,"89 Allappuzha (Alleppey) Manor","National Capital Reg",Taguig,Philippines
73,1,2,70,BEVERLY,BROOKS,"2006-02-14 22:04:36",BEVERLY.BROOKS@sakilacustomer.org,"1947 Poos de Caldas Boulevard",Chiayi,Chiayi,Taiwan
74,1,1,1121,DENISE,KELLY,"2006-02-14 22:04:36",DENISE.KELLY@sakilacustomer.org,"1206 Dos Quebradas Place","So Paulo","Rio Claro",Brazil
75,1,2,180,TAMMY,SANDERS,"2006-02-14 22:04:36",TAMMY.SANDERS@sakilacustomer.org,"1551 Rampur Lane",Changhwa,Changhwa,Taiwan
76,1,2,574,IRENE,PRICE,"2006-02-14 22:04:36",IRENE.PRICE@sakilacustomer.org,"602 Paarl Street",Pavlodar,Pavlodar,Kazakstan
77,1,2,319,JANE,BENNETT,"2006-02-14 22:04:36",JANE.BENNETT@sakilacustomer.org,"1692 Ede Loop","So Paulo",Araatuba,Brazil
78,1,1,2207,LORI,WOOD,"2006-02-14 22:04:36",LORI.WOOD@sakilacustomer.org,"936 Salzburg Lane","Uttar Pradesh","Rae Bareli",India
79,1,1,840,RACHEL,BARNES,"2006-02-14 22:04:36",RACHEL.BARNES@sakilacustomer.org,"586 Tete Way",Kanagawa,Kamakura,Japan
80,1,1,2596,MARILYN,ROSS,"2006-02-14 22:04:36",MARILYN.ROSS@sakilacustomer.org,"1888 Kabul Drive","Oyo & Osun",Ife,Nigeria
81,1,1,289,ANDREA,HENDERSON,"2006-02-14 22:04:36",ANDREA.HENDERSON@sakilacustomer.org,"320 Baiyin Parkway",Mahajanga,Mahajanga,Madagascar
82,1,1,145,KATHRYN,COLEMAN,"2006-02-14 22:04:36",KATHRYN.COLEMAN@sakilacustomer.org,"927 Baha Blanca Parkway",Krim,Simferopol,Ukraine
83,1,1,222,LOUISE,JENKINS,"2006-02-14 22:04:36",LOUISE.JENKINS@sakilacustomer.org,"929 Tallahassee Loop",Gauteng,Springs,"South Africa"
84,1,2,408,SARA,PERRY,"2006-02-14 22:04:36",SARA.PERRY@sakilacustomer.org,"125 Citt del Vaticano Boulevard",Puebla,Atlixco,Mexico
85,1,2,690,ANNE,POWELL,"2006-02-14 22:04:36",ANNE.POWELL@sakilacustomer.org,"1557 Ktahya Boulevard",England,Bradford,"United Kingdom"
86,1,2,66,JACQUELINE,LONG,"2006-02-14 22:04:36",JACQUELINE.LONG@sakilacustomer.org,"870 Ashqelon Loop",Songkhla,Songkhla,Thailand
87,1,1,451,WANDA,PATTERSON,"2006-02-14 22:04:36",WANDA.PATTERSON@sakilacustomer.org,"1740 Portoviejo Avenue",Sucre,Sincelejo,Colombia
88,1,2,36,BONNIE,HUGHES,"2006-02-14 22:04:36",BONNIE.HUGHES@sakilacustomer.org,"1942 Ciparay Parkway",Cheju,Cheju,"South Korea"
89,1,1,141,JULIA,FLORES,"2006-02-14 22:04:36",JULIA.FLORES@sakilacustomer.org,"1926 El Alto Avenue","Buenos Aires","La Plata",Argentina
90,1,2,2033,RUBY,WASHINGTON,"2006-02-14 22:04:36",RUBY.WASHINGTON@sakilacustomer.org,"1952 Chatsworth Drive",Guangdong,Meixian,China
91,1,2,216,LOIS,BUTLER,"2006-02-14 22:04:36",LOIS.BUTLER@sakilacustomer.org,"1370 Le Mans Avenue","Brunei and Muara","Bandar Seri Begawan",Brunei
92,1,2,271,TINA,SIMMONS,"2006-02-14 22:04:36",TINA.SIMMONS@sakilacustomer.org,"984 Effon-Alaiye Avenue",Gois,Goinia,Brazil
93,1,1,113,PHYLLIS,FOSTER,"2006-02-14 22:04:36",PHYLLIS.FOSTER@sakilacustomer.org,"832 Nakhon Sawan Manor","Inner Mongolia",Zalantun,China
94,1,1,127,NORMA,GONZALES,"2006-02-14 22:04:36",NORMA.GONZALES@sakilacustomer.org,"152 Kitwe Parkway",Caraga,Bislig,Philippines
95,1,2,490,PAULA,BRYANT,"2006-02-14 22:04:36",PAULA.BRYANT@sakilacustomer.org,"1697 Tanauan Lane",Punjab,Pathankot,India
96,1,1,1266,DIANA,ALEXANDER,"2006-02-14 22:04:36",DIANA.ALEXANDER@sakilacustomer.org,"1308 Arecibo Way",Georgia,"Augusta-Richmond County","United States"
97,1,2,2083,ANNIE,RUSSELL,"2006-02-14 22:04:36",ANNIE.RUSSELL@sakilacustomer.org,"1599 Plock Drive",Tete,Tete,Mozambique
98,1,1,214,LILLIAN,GRIFFIN,"2006-02-14 22:04:36",LILLIAN.GRIFFIN@sakilacustomer.org,"669 Firozabad Loop","Abu Dhabi",al-Ayn,"United Arab Emirates"
99,1,2,867,EMILY,DIAZ,"2006-02-14 22:04:36",EMILY.DIAZ@sakilacustomer.org,"588 Vila Velha Manor",Kyongsangbuk,Kimchon,"South Korea"
100,1,1,71,ROBIN,HAYES,"2006-02-14 22:04:36",ROBIN.HAYES@sakilacustomer.org,"1913 Kamakura Place",Lipetsk,Jelets,"Russian Federation"
101,1,1,468,PEGGY,MYERS,"2006-02-14 22:04:36",PEGGY.MYERS@sakilacustomer.org,"733 Mandaluyong Place",Asir,Abha,"Saudi Arabia"
102,1,1,247,CRYSTAL,FORD,"2006-02-14 22:04:36",CRYSTAL.FORD@sakilacustomer.org,"659 Vaduz Drive","Ha Darom",Ashdod,Israel
103,1,1,240,GLADYS,HAMILTON,"2006-02-14 22:04:36",GLADYS.HAMILTON@sakilacustomer.org,"1177 Jelets Way","Kwara & Kogi",Ilorin,Nigeria
104,1,1,163,RITA,GRAHAM,"2006-02-14 22:04:36",RITA.GRAHAM@sakilacustomer.org,"1386 Yangor Avenue",Provence-Alpes-Cte,Toulon,France
105,1,1,327,DAWN,SULLIVAN,"2006-02-14 22:04:36",DAWN.SULLIVAN@sakilacustomer.org,"454 Nakhon Sawan Boulevard",Funafuti,Funafuti,Tuvalu
106,1,1,552,CONNIE,WALLACE,"2006-02-14 22:04:36",CONNIE.WALLACE@sakilacustomer.org,"1867 San Juan Bautista Tuxtepec Avenue",Ivanovo,Ivanovo,"Russian Federation"
107,1,1,170,FLORENCE,WOODS,"2006-02-14 22:04:36",FLORENCE.WOODS@sakilacustomer.org,"1532 Dzerzinsk Way","Buenos Aires",Merlo,Argentina
108,1,1,105,TRACY,COLE,"2006-02-14 22:04:36",TRACY.COLE@sakilacustomer.org,"1002 Ahmadnagar Manor",Mxico,Huixquilucan,Mexico
109,1,2,203,EDNA,WEST,"2006-02-14 22:04:36",EDNA.WEST@sakilacustomer.org,"682 Junan Way","North West",Klerksdorp,"South Africa"
110,1,2,515,TIFFANY,JORDAN,"2006-02-14 22:04:36",TIFFANY.JORDAN@sakilacustomer.org,"804 Elista Drive",Hubei,Enshi,China
111,1,1,505,CARMEN,OWENS,"2006-02-14 22:04:36",CARMEN.OWENS@sakilacustomer.org,"1378 Alvorada Avenue","Distrito Federal",Caracas,Venezuela
112,1,2,396,ROSA,REYNOLDS,"2006-02-14 22:04:36",ROSA.REYNOLDS@sakilacustomer.org,"793 Cam Ranh Avenue",California,Lancaster,"United States"
113,1,2,510,CINDY,FISHER,"2006-02-14 22:04:36",CINDY.FISHER@sakilacustomer.org,"1079 Tel Aviv-Jaffa Boulevard",Sucre,Cuman,Venezuela
114,1,2,205,GRACE,ELLIS,"2006-02-14 22:04:36",GRACE.ELLIS@sakilacustomer.org,"442 Rae Bareli Place",Nordrhein-Westfalen,Duisburg,Germany
115,1,1,915,WENDY,HARRISON,"2006-02-14 22:04:36",WENDY.HARRISON@sakilacustomer.org,"1107 Nakhon Sawan Avenue",Mxico,Nezahualcyotl,Mexico
116,1,1,1058,VICTORIA,GIBSON,"2006-02-14 22:04:36",VICTORIA.GIBSON@sakilacustomer.org,"544 Malm Parkway","Central Java",Pemalang,Indonesia
117,1,1,700,EDITH,MCDONALD,"2006-02-14 22:04:36",EDITH.MCDONALD@sakilacustomer.org,"1967 Sincelejo Place",Gujarat,Gandhinagar,India
118,1,1,351,KIM,CRUZ,"2006-02-14 22:04:36",KIM.CRUZ@sakilacustomer.org,"333 Goinia Way",Texas,"Grand Prairie","United States"
119,1,1,67,SHERRY,MARSHALL,"2006-02-14 22:04:36",SHERRY.MARSHALL@sakilacustomer.org,"1987 Coacalco de Berriozbal Loop",al-Qalyubiya,"Shubra al-Khayma",Egypt
120,1,2,68,SYLVIA,ORTIZ,"2006-02-14 22:04:36",SYLVIA.ORTIZ@sakilacustomer.org,"241 Mosul Lane",Risaralda,"Dos Quebradas",Colombia
121,1,1,217,JOSEPHINE,GOMEZ,"2006-02-14 22:04:36",JOSEPHINE.GOMEZ@sakilacustomer.org,"211 Chiayi Drive","Uttar Pradesh",Etawah,India
122,1,1,853,THELMA,MURRAY,"2006-02-14 22:04:36",THELMA.MURRAY@sakilacustomer.org,"1175 Tanauan Way",Lima,Lima,Peru
123,1,2,992,SHANNON,FREEMAN,"2006-02-14 22:04:36",SHANNON.FREEMAN@sakilacustomer.org,"117 Boa Vista Way","Uttar Pradesh","Varanasi (Benares)",India
124,0,1,775,SHEILA,WELLS,"2006-02-14 22:04:36",SHEILA.WELLS@sakilacustomer.org,"848 Tafuna Manor",Ktahya,Ktahya,Turkey
125,1,1,185,ETHEL,WEBB,"2006-02-14 22:04:36",ETHEL.WEBB@sakilacustomer.org,"569 Baicheng Lane",Gauteng,Boksburg,"South Africa"
126,1,1,9,ELLEN,SIMPSON,"2006-02-14 22:04:36",ELLEN.SIMPSON@sakilacustomer.org,"1666 Qomsheh Drive","So Paulo",Po,Brazil
127,1,2,452,ELAINE,STEVENS,"2006-02-14 22:04:36",ELAINE.STEVENS@sakilacustomer.org,"801 Hagonoy Drive",Smolensk,Smolensk,"Russian Federation"
128,1,1,888,MARJORIE,TUCKER,"2006-02-14 22:04:36",MARJORIE.TUCKER@sakilacustomer.org,"1050 Garden Grove Avenue",Slaskie,Jastrzebie-Zdrj,Poland
129,1,1,1732,CARRIE,PORTER,"2006-02-14 22:04:36",CARRIE.PORTER@sakilacustomer.org,"1854 Tieli Street",Shandong,Liaocheng,China
130,1,1,1,CHARLOTTE,HUNTER,"2006-02-14 22:04:36",CHARLOTTE.HUNTER@sakilacustomer.org,"758 Junan Lane",Gois,"guas Lindas de Gois",Brazil
131,1,2,55,MONICA,HICKS,"2006-02-14 22:04:36",MONICA.HICKS@sakilacustomer.org,"1752 So Leopoldo Parkway",Taka-Karpatia,Mukateve,Ukraine
132,1,2,1843,ESTHER,CRAWFORD,"2006-02-14 22:04:36",ESTHER.CRAWFORD@sakilacustomer.org,"898 Belm Manor","Free State",Botshabelo,"South Africa"
133,1,1,275,PAULINE,HENRY,"2006-02-14 22:04:36",PAULINE.HENRY@sakilacustomer.org,"261 Saint Louis Way","Coahuila de Zaragoza",Torren,Mexico
134,1,1,366,EMMA,BOYD,"2006-02-14 22:04:36",EMMA.BOYD@sakilacustomer.org,"765 Southampton Drive",al-Qalyubiya,Qalyub,Egypt
135,1,2,78,JUANITA,MASON,"2006-02-14 22:04:36",JUANITA.MASON@sakilacustomer.org,"943 Johannesburg Avenue",Maharashtra,Pune,India
136,1,2,1150,ANITA,MORALES,"2006-02-14 22:04:36",ANITA.MORALES@sakilacustomer.org,"788 Atinsk Street",Karnataka,Hubli-Dharwad,India
137,1,2,925,RHONDA,KENNEDY,"2006-02-14 22:04:36",RHONDA.KENNEDY@sakilacustomer.org,"1749 Daxian Place",Gelderland,Apeldoorn,Netherlands
138,1,1,523,HAZEL,WARREN,"2006-02-14 22:04:36",HAZEL.WARREN@sakilacustomer.org,"1587 Sullana Lane","Inner Mongolia",Hohhot,China
139,1,1,1169,AMBER,DIXON,"2006-02-14 22:04:36",AMBER.DIXON@sakilacustomer.org,"1029 Dzerzinsk Manor",Ynlin,Touliu,Taiwan
140,1,1,1586,EVA,RAMOS,"2006-02-14 22:04:36",EVA.RAMOS@sakilacustomer.org,"1666 Beni-Mellal Place",Tennessee,Clarksville,"United States"
141,1,1,930,DEBBIE,REYES,"2006-02-14 22:04:36",DEBBIE.REYES@sakilacustomer.org,"928 Jaffna Loop",Hiroshima,Fukuyama,Japan
142,1,1,11,APRIL,BURNS,"2006-02-14 22:04:36",APRIL.BURNS@sakilacustomer.org,"483 Ljubertsy Parkway",Scotland,Dundee,"United Kingdom"
143,1,1,221,LESLIE,GORDON,"2006-02-14 22:04:36",LESLIE.GORDON@sakilacustomer.org,"374 Bat Yam Boulevard",Kilis,Kilis,Turkey
144,1,1,323,CLARA,SHAW,"2006-02-14 22:04:36",CLARA.SHAW@sakilacustomer.org,"1027 Songkhla Manor",Minsk,Molodetno,Belarus
145,1,1,500,LUCILLE,HOLMES,"2006-02-14 22:04:36",LUCILLE.HOLMES@sakilacustomer.org,"999 Sanaa Loop",Gauteng,Soshanguve,"South Africa"
146,1,1,762,JAMIE,RICE,"2006-02-14 22:04:36",JAMIE.RICE@sakilacustomer.org,"879 Newcastle Way",Michigan,"Sterling Heights","United States"
147,1,2,362,JOANNE,ROBERTSON,"2006-02-14 22:04:36",JOANNE.ROBERTSON@sakilacustomer.org,"1337 Lincoln Parkway",Saitama,Urawa,Japan
148,1,1,682,ELEANOR,HUNT,"2006-02-14 22:04:36",ELEANOR.HUNT@sakilacustomer.org,"1952 Pune Lane",Saint-Denis,Saint-Denis,Runion
149,1,1,764,VALERIE,BLACK,"2006-02-14 22:04:36",VALERIE.BLACK@sakilacustomer.org,"782 Mosul Street",Massachusetts,Brockton,"United States"
150,1,2,422,DANIELLE,DANIELS,"2006-02-14 22:04:36",DANIELLE.DANIELS@sakilacustomer.org,"781 Shimonoseki Drive","Michoacn de Ocampo",Hidalgo,Mexico
151,1,2,164,MEGAN,PALMER,"2006-02-14 22:04:36",MEGAN.PALMER@sakilacustomer.org,"1560 Jelets Boulevard",Shandong,Laiwu,China
152,1,1,359,ALICIA,MILLS,"2006-02-14 22:04:36",ALICIA.MILLS@sakilacustomer.org,"1963 Moscow Place",Assam,Nagaon,India
153,1,2,2224,SUZANNE,NICHOLS,"2006-02-14 22:04:36",SUZANNE.NICHOLS@sakilacustomer.org,"456 Escobar Way","Jakarta Raya",Jakarta,Indonesia
154,1,2,469,MICHELE,GRANT,"2006-02-14 22:04:36",MICHELE.GRANT@sakilacustomer.org,"798 Cianjur Avenue",Shanxi,Yuncheng,China
155,1,1,568,GAIL,KNIGHT,"2006-02-14 22:04:36",GAIL.KNIGHT@sakilacustomer.org,"185 Novi Sad Place",Bern,Bern,Switzerland
156,1,1,899,BERTHA,FERGUSON,"2006-02-14 22:04:36",BERTHA.FERGUSON@sakilacustomer.org,"1367 Yantai Manor","Ondo & Ekiti",Ondo,Nigeria
157,1,2,352,DARLENE,ROSE,"2006-02-14 22:04:36",DARLENE.ROSE@sakilacustomer.org,"1386 Nakhon Sawan Boulevard",Pyongyang-si,Pyongyang,"North Korea"
158,1,1,245,VERONICA,STONE,"2006-02-14 22:04:36",VERONICA.STONE@sakilacustomer.org,"369 Papeete Way","North Carolina",Greensboro,"United States"
159,1,1,475,JILL,HAWKINS,"2006-02-14 22:04:36",JILL.HAWKINS@sakilacustomer.org,"1440 Compton Place","North Austria",Linz,Austria
160,1,2,2314,ERIN,DUNN,"2006-02-14 22:04:36",ERIN.DUNN@sakilacustomer.org,"1623 Baha Blanca Manor",Moskova,Ljubertsy,"Russian Federation"
